"","year","tfr_male","tfr_female","tfr_ratio","country"
"121",1999,0.800162029410009,0.797329661135134,1.00355231770864,"Spain"
"122",2000,0.820644635030623,0.823343103475412,0.996722546853919,"Spain"
"123",2001,0.815395120774974,0.826990538832752,0.985978777853802,"Spain"
"124",2002,0.812701379688036,0.834343912939175,0.974060416915013,"Spain"
"125",2003,0.829136302529746,0.861062281306689,0.962922567310121,"Spain"
"126",2004,0.834779269963086,0.874328245237439,0.954766444422011,"Spain"
"127",2005,0.835409115751166,0.88449400181241,0.944505122747397,"Spain"
"128",2006,0.848354720032248,0.907660337133382,0.934661001836396,"Spain"
"129",2007,0.857457654838814,0.923779364568517,0.928206114713679,"Spain"
"130",2008,0.888926092596424,0.964707896953353,0.921445854650661,"Spain"
"131",2009,0.836288782688325,0.910216581982876,0.918779990655079,"Spain"
"132",2010,0.823620308746623,0.897754706241584,0.917422435126715,"Spain"
"133",2011,0.805472085728689,0.877772492523012,0.917631952003295,"Spain"
"134",2012,0.787040959398458,0.857351373781065,0.91799113346897,"Spain"
"135",2013,0.752725220381344,0.820220854691131,0.917710414306396,"Spain"
"136",2014,0.778451107376678,0.848462920597807,0.917483944764728,"Spain"
"137",2015,0.788740460024806,0.860247784488259,0.916875898139056,"Spain"
"138",2016,0.792223937614265,0.863018722869812,0.917968424809914,"Spain"
"139",2017,0.778695027624507,0.848563371543146,0.917662785996076,"Spain"
"140",2018,0.75466745261822,0.821591500730978,0.918543402587278,"Spain"
"141",2019,0.742123810192478,0.808134634942568,0.918317045333935,"Spain"
"142",2020,0.709473489926694,0.770056556000221,0.921326471930576,"Spain"
"143",1998,1.62399963127639,1.6347735487525,0.993409535232367,"France"
"144",1999,1.64371502107861,1.65833531142509,0.99118375503087,"France"
"145",2000,1.71633037236563,1.73555694230645,0.988921959589948,"France"
"146",2001,1.71595877452741,1.73865389703217,0.98694672784302,"France"
"147",2002,1.70928332943961,1.73411898528706,0.985678228507869,"France"
"148",2003,1.71866179834149,1.74439847089476,0.985246104612743,"France"
"149",2004,1.74412599411529,1.76774062238034,0.986641350000063,"France"
"150",2005,1.76815289071373,1.78793601020869,0.988935219503379,"France"
"151",2006,1.8282201787531,1.84496965280188,0.990921544956931,"France"
"152",2007,1.81029599453339,1.8242044477398,0.992375606131406,"France"
"153",2008,1.84528473892526,1.8556924608529,0.994391461868171,"France"
"154",2009,1.84949520918421,1.8563521889646,0.996306207506768,"France"
"155",1988,1.5916552642596,1.71293432064114,0.929198069698233,"Finland"
"156",1989,1.60161598234763,1.72867587705425,0.926498717085625,"Finland"
"157",1990,1.67262327945631,1.80788070941616,0.925184538307552,"Finland"
"158",1991,1.65441603572014,1.79542766558637,0.921460701219515,"Finland"
"159",1992,1.69730082405218,1.84734574172939,0.918778107266078,"Finland"
"160",1993,1.66180296559468,1.81242054772058,0.916897001462864,"Finland"
"161",1994,1.67926380068783,1.83748373345634,0.913893151875201,"Finland"
"162",1995,1.66986505258417,1.82963904168748,0.912674584733419,"Finland"
"163",1996,1.61954996625746,1.77880643611359,0.910470039559738,"Finland"
"164",1997,1.60419673420751,1.76040228377711,0.91126712853698,"Finland"
"165",1998,1.57743052304027,1.73259106491908,0.910445952873441,"Finland"
"166",1999,1.60153427082853,1.76028386183688,0.909815914097688,"Finland"
"167",2000,1.5961534702323,1.7559867371231,0.90897808991846,"Finland"
"168",2001,1.60970584843788,1.77011072422864,0.909381445129284,"Finland"
"169",2002,1.59965389385053,1.75576665069055,0.911085703342967,"Finland"
"170",2003,1.64004400384773,1.80089362752436,0.91068344003319,"Finland"
"171",2004,1.67686598164602,1.83503770510692,0.913804646618047,"Finland"
"172",2005,1.69948286194309,1.8582294868115,0.914571033343786,"Finland"
"173",2006,1.73119905411168,1.88999254023156,0.91598195085975,"Finland"
"174",2007,1.73931808378514,1.89735802763474,0.916705259867791,"Finland"
"175",2008,1.74588645382907,1.90318437028179,0.917350142787569,"Finland"
"176",2009,1.77408452604517,1.93079388262994,0.918836827693217,"Finland"
"177",2010,1.7787512446433,1.93701852554653,0.918293357128024,"Finland"
"178",2011,1.74716720313133,1.90159855627101,0.918788667234523,"Finland"
"179",2012,1.72093374136361,1.87430622324691,0.918171065122111,"Finland"
"180",2013,1.67674536255588,1.8259376474316,0.918292782294307,"Finland"
"181",2014,1.6496392214305,1.7994644234245,0.916739002981302,"Finland"
"182",2015,1.56264197235113,1.70155544436157,0.918360890048711,"Finland"
"183",2016,1.50715867980172,1.64439163698225,0.916544846073055,"Finland"
"184",2017,1.42410859614027,1.55716970398725,0.914549385653813,"Finland"
"185",2018,1.3280562743412,1.45369622821245,0.913572071363396,"Finland"
"186",2019,1.26061156554668,1.38476466894114,0.910343536212989,"Finland"
"187",2020,1.23701588493044,1.36477466046196,0.906388373676082,"Finland"
"188",2002,2.30280379731201,2.04246673832289,1.12746208009384,"Colombia"
"189",2003,2.3085732183922,2.05210563233419,1.1249777701581,"Colombia"
"190",2004,2.31987650919666,2.06790311816675,1.121849707956,"Colombia"
"191",2008,2.16579781224758,1.96009171362291,1.10494718037681,"Colombia"
"192",2009,2.10248669850664,1.90957336419193,1.10102431146778,"Colombia"
"193",2012,1.92434912230077,1.77628573835598,1.0833556115143,"Colombia"
"194",2015,1.82738191812439,1.71871706231447,1.06322440045111,"Colombia"
"195",2016,1.75881748847788,1.66579114338904,1.05584514328704,"Colombia"
"196",2017,1.75436288093031,1.67229266670116,1.04907646601778,"Colombia"
"197",2019,1.67757691231873,1.61787782858764,1.03689962411019,"Colombia"
"198",1998,2.4875262942287,2.18773247359361,1.13703404061222,"Colombia"
"199",1999,2.54089924843304,2.24267632934017,1.13297635293659,"Colombia"
"200",2000,2.53360501679806,2.23904525592693,1.13155596569181,"Colombia"
"201",2001,2.40863021504023,2.13283404339639,1.12930971938381,"Colombia"
"202",2005,2.28249030014494,2.03791053506335,1.12001496673846,"Colombia"
"203",2006,2.22994685592783,1.99959588732331,1.11519876094208,"Colombia"
"204",2007,2.17909462191026,1.96191912644985,1.11069543720357,"Colombia"
"205",2013,1.84389823067302,1.71403868677971,1.07576231790735,"Colombia"
"206",2020,1.61508029887867,1.56993632747191,1.02875528810742,"Colombia"
"207",2010,1.95603457772285,1.78496023793762,1.0958421012128,"Colombia"
"208",2011,1.97438129161502,1.81105449579694,1.09018325853646,"Colombia"
"209",2014,1.87400233177268,1.75195908054528,1.06966101696246,"Colombia"
"210",2018,1.71630068316857,1.64496412251672,1.04336663619308,"Colombia"
